77498, 56.34 %
77502, 33.33 %
77503, 108.33 %
77504, 58.88 %
77505, 32.79 %
77506, NaN
77510, 121.24 %
77511, 88.98 %
77514, 133.33 %
77515, 123.88 %
77517, 134.38 %
77518, 79.49 %
77519, NaN
77520, 40.50 %
77521, 66.67 %
77523, 149.27 %
77530, 50.00 %
77531, 183.02 %
77532, 78.71 %
77534, 220.00 %
77535, 138.81 %
77536, 55.12 %
77538, NaN
77539, 73.02 %
77541, 207.69 %
77545, 71.43 %
77546, 60.27 %
77547, NaN
77550, 102.38 %
77551, 53.51 %
77554, 71.43 %
77560, NaN
77562, 44.93 %
77563, 185.71 %
77564, NaN
77565, 48.94 %
77566, 45.81 %
77568, 73.08 %
77571, 89.08 %
77573, 79.81 %
77575, 73.08 %
77577, NaN
77578, 103.43 %
77581, 78.65 %
77583, 207.69 %
77584, 69.25 %
77585, NaN
77586, 49.34 %
77587, NaN
77590, 109.52 %
77591, 53.85 %
77597, NaN
77598, 109.88 %
77611, 93.55 %
77612, 89.19 %
77616, NaN
77619, 49.25 %
77622, Infinity
77624, NaN
77625, 92.31 %
77627, 94.69 %
77630, 109.46 %
77632, 94.12 %
77640, 93.55 %
77642, 80.85 %
77651, 95.27 %
77655, NaN
77656, 57.89 %
77657, 111.45 %
77659, 37.50 %
77660, NaN
77662, 74.42 %
77664, NaN
77665, 143.90 %
77701, 5.26 %
77702, 53.85 %
77703, NaN
77705, 134.23 %
77706, 28.93 %
77707, 33.00 %
77708, 57.89 %
77713, 98.80 %
77801, 42.86 %
77802, 47.37 %
77803, 90.48 %
77807, 102.53 %
77808, 115.28 %
77830, 100.00 %
77831, 42.86 %
77833, 65.54 %
77835, 112.12 %
77836, 109.68 %
77837, NaN
77840, 34.41 %
77845, 88.80 %
77853, NaN
77856, -23.08 %
77857, NaN
77859, -9.09 %
77861, 118.75 %
77864, 7.69 %
77865, Infinity
77868, 62.79 %
77871, 42.86 %
77872, NaN
77873, Infinity
77879, 127.27 %
77880, 42.86 %
77901, 31.25 %
77904, 44.18 %
77905, 72.93 %
77954, 3.83 %
77957, 42.86 %
77962, 73.91 %
77963, 32.08 %
77964, 30.00 %
77968, 50.94 %
77971, NaN
77974, NaN
77975, 30.43 %
77979, 106.19 %
77983, NaN
77984, 130.77 %
77990, NaN
77994, 50.00 %
77995, 8.11 %
78002, Infinity
78003, 52.17 %
78004, Infinity
78005, NaN
78006, 81.61 %
78008, NaN
78009, 115.19 %
78010, 61.29 %
78011, Infinity
78012, NaN
78013, 92.31 %
78014, 22.45 %
78015, 78.65 %
78016, 45.45 %
78017, -11.76 %
78022, -12.50 %
78023, 69.70 %
78024, 34.62 %
78025, 36.36 %
78026, 45.16 %
78027, Infinity
78028, 48.29 %
78039, NaN
78040, -15.49 %
78041, 36.04 %
78043, 16.67 %
78045, 36.28 %
78046, Infinity
78052, Infinity
78055, -3.23 %
78056, 85.19 %
78057, NaN
78058, Infinity
78059, Infinity
78061, 9.38 %
78063, 85.19 %
78064, 30.14 %
78065, Infinity
78066, NaN
78067, NaN
78069, Infinity
78070, 76.59 %
78071, -33.33 %
78072, 8.11 %
78073, Infinity
78076, -43.40 %
78101, 142.42 %
78102, 18.28 %
78108, 150.00 %
78109, 100.00 %
78112, Infinity
78113, 81.82 %
78114, 128.07 %
78116, Infinity
78117, Infinity
78118, 117.95 %
78119, 2.94 %
78121, 163.89 %
78122, NaN
78123, 36.36 %
78124, 175.86 %
78130, 106.41 %
78132, 148.05 %
78133, 108.33 %
78140, -100.00 %
78141, NaN
78148, 61.02 %
78151, 60.00 %
78152, Infinity
78154, 101.49 %
